Club_id,Season,Revenue_Type,Amount_Euros(InMillions)
RMA,2024-25,Matchday & Memberships,326.30
RMA,2024-25,Broadcast & Reward Prices,351.65
RMA,2024-25,Sponsorships & Marketing,481.20
RMA,2024-25,Other Income,2.11
RMA,2024-25,Provision surpluses,23.20
RMA,2024-25,Player Sales & Transfer Profits,34.65
RMA,2024-26,Financial Income,5.57
BAR,2024-25,Matchday & Memberships,150.20
BAR,2024-25,Broadcast & Reward Prices,250.50
BAR,2024-25,Sponsorships & Marketing,556.84
BAR,2024-25,Other Income,29.70
BAR,2024-25,Provision Surpluses,1.25
BAR,2024-25,Player Sales & Transfer Profits,13.47
BAR,2024-26,Financial Income,1.99
PSG,2024-25,Matchday & Memberships,78.20
PSG,2024-25,Broadcast & Reward Prices,243.20
PSG,2024-25,Sponsorships & Marketing,386.60
PSG,2024-25,Other Income,129.10
PSG,2024-25,Exceptional Items,7.5
PSG,2024-25,Player Sales & Transfer Profits,66.2
PSG,2024-25,Financial Income,0.20
ARS,2024-25,Matchday & Memberships,183.10
ARS,2024-25,Broadcast & Reward Prices,324.60
ARS,2024-25,Sponsorships & Marketing,313.20
ARS,2024-25,Other Income,0.60
ARS,2024-25,Property Income,0.83
ARS,2024-25,Player Sales & Transfer Profits,96.63
AVL,2024-25,Matchday & Memberships,45.82
AVL,2024-25,Broadcast & Reward Prices,286.70
AVL,2024-25,Sponsorships & Marketing,108.10
AVL,2024-25,Other Income,9.40
AVL,2024-25,Player Sales & Transfer Profits,61.88
AVL,2024-25,Asset Sales,135.18
INT,2024-25,Matchday & Memberships,103.60
INT,2024-25,Broadcast & Reward Prices,264.40
INT,2024-25,Sponsorships & Marketing,175.40
INT,2024-25,Other Income,7.10
INT,2024-25,Player Sales & Transfer Profits,14.40
LIV,2024-25,Matchday & Memberships,137.60
LIV,2024-25,Broadcast & Reward Prices,313.80
LIV,2024-25,Sponsorships & Marketing,385.00
LIV,2024-25,Other Income,15.40
LIV,2024-25,Player Sales & Transfer Profits,63.43
BVB,2024-25,Matchday & Memberships,55.22
BVB,2024-25,Broadcast & Reward Prices,227.20
BVB,2024-25,Sponsorships & Marketing,153.55
BVB,2024-25,Other Income,59.73
BVB,2024-25,Merchandsing,42.90
BVB,2024-25,Other Effects,7.81
BVB,2024-26,Player Sales & Transfer Profits,71.22
BVB,2024-27,Finance Income,1.97
BAY,2024-25,Matchday & Memberships,260.70
BAY,2024-25,Broadcast & Reward Prices,105.30
BAY,2024-25,Sponsorships & Marketing,390.90
BAY,2024-25,Player Sales & Transfer Profits,117.70
BAY,2024-25,Other Income,51.90
ATM,2024-25,Matchday & Memberships,191.28
ATM,2024-25,Broadcast & Reward Prices,109.22
ATM,2024-25,Sponsorships & Marketing,113.46
ATM,2024-25,Other Income,33.40
ATM,2024-25,Player Sales & Transfer Profits,56.13
ATM,2024-25,Financial Income,2.32
