"club_id","club_name","revenue_type","amount_euros_millions","total_revenue_of_club","percentage_revenue_stream_makes_of_total_revenue_of_club"
"RMA","Real Madrid","Sponsorships & Marketing","481.20","1224.68","39.29"
"RMA","Real Madrid","Other Income","2.11","1224.68","0.17"
"RMA","Real Madrid","Provision surpluses","23.20","1224.68","1.89"
"RMA","Real Madrid","Player Sales & Transfer Profits","34.65","1224.68","2.83"
"RMA","Real Madrid","Financial Income","5.57","1224.68","0.45"
"RMA","Real Madrid","Broadcast & Reward Prices","351.65","1224.68","28.71"
"RMA","Real Madrid","Matchday & Memberships","326.30","1224.68","26.64"
"BAR","Barcelona","Provision Surpluses","1.25","1003.95","0.12"
"BAR","Barcelona","Other Income","29.70","1003.95","2.96"
"BAR","Barcelona","Sponsorships & Marketing","556.84","1003.95","55.46"
"BAR","Barcelona","Broadcast & Reward Prices","250.50","1003.95","24.95"
"BAR","Barcelona","Matchday & Memberships","150.20","1003.95","14.96"
"BAR","Barcelona","Financial Income","1.99","1003.95","0.20"
"BAR","Barcelona","Player Sales & Transfer Profits","13.47","1003.95","1.34"
"BAY","Bayern Munich","Other Income","51.90","926.50","5.60"
"BAY","Bayern Munich","Player Sales & Transfer Profits","117.70","926.50","12.70"
"BAY","Bayern Munich","Matchday & Memberships","260.70","926.50","28.14"
"BAY","Bayern Munich","Broadcast & Reward Prices","105.30","926.50","11.37"
"BAY","Bayern Munich","Sponsorships & Marketing","390.90","926.50","42.19"
"ARS","Arsenal","Matchday & Memberships","183.10","918.96","19.92"
"ARS","Arsenal","Player Sales & Transfer Profits","96.63","918.96","10.52"
"ARS","Arsenal","Broadcast & Reward Prices","324.60","918.96","35.32"
"ARS","Arsenal","Sponsorships & Marketing","313.20","918.96","34.08"
"ARS","Arsenal","Other Income","0.60","918.96","0.07"
"ARS","Arsenal","Property Income","0.83","918.96","0.09"
"LIV","Liverpool","Player Sales & Transfer Profits","63.43","915.23","6.93"
"LIV","Liverpool","Matchday & Memberships","137.60","915.23","15.03"
"LIV","Liverpool","Broadcast & Reward Prices","313.80","915.23","34.29"
"LIV","Liverpool","Sponsorships & Marketing","385.00","915.23","42.07"
"LIV","Liverpool","Other Income","15.40","915.23","1.68"
"PSG","Paris Saint-Germain","Broadcast & Reward Prices","243.20","911.00","26.70"
"PSG","Paris Saint-Germain","Sponsorships & Marketing","386.60","911.00","42.44"
"PSG","Paris Saint-Germain","Exceptional Items","7.50","911.00","0.82"
"PSG","Paris Saint-Germain","Player Sales & Transfer Profits","66.20","911.00","7.27"
"PSG","Paris Saint-Germain","Financial Income","0.20","911.00","0.02"
"PSG","Paris Saint-Germain","Matchday & Memberships","78.20","911.00","8.58"
"PSG","Paris Saint-Germain","Other Income","129.10","911.00","14.17"
"AVL","Aston Villa","Player Sales & Transfer Profits","61.88","647.08","9.56"
"AVL","Aston Villa","Matchday & Memberships","45.82","647.08","7.08"
"AVL","Aston Villa","Asset Sales","135.18","647.08","20.89"
"AVL","Aston Villa","Other Income","9.40","647.08","1.45"
"AVL","Aston Villa","Sponsorships & Marketing","108.10","647.08","16.71"
"AVL","Aston Villa","Broadcast & Reward Prices","286.70","647.08","44.31"
"BVB","Borussia Dortmund","Broadcast & Reward Prices","227.20","619.60","36.67"
"BVB","Borussia Dortmund","Matchday & Memberships","55.22","619.60","8.91"
"BVB","Borussia Dortmund","Finance Income","1.97","619.60","0.32"
"BVB","Borussia Dortmund","Player Sales & Transfer Profits","71.22","619.60","11.49"
"BVB","Borussia Dortmund","Other Effects","7.81","619.60","1.26"
"BVB","Borussia Dortmund","Merchandsing","42.90","619.60","6.92"
"BVB","Borussia Dortmund","Other Income","59.73","619.60","9.64"
"BVB","Borussia Dortmund","Sponsorships & Marketing","153.55","619.60","24.78"
"INT","Inter Milan","Other Income","7.10","564.90","1.26"
"INT","Inter Milan","Sponsorships & Marketing","175.40","564.90","31.05"
"INT","Inter Milan","Broadcast & Reward Prices","264.40","564.90","46.80"
"INT","Inter Milan","Matchday & Memberships","103.60","564.90","18.34"
"INT","Inter Milan","Player Sales & Transfer Profits","14.40","564.90","2.55"
"ATM","Atletico Madrid","Broadcast & Reward Prices","109.22","505.81","21.59"
"ATM","Atletico Madrid","Sponsorships & Marketing","113.46","505.81","22.43"
"ATM","Atletico Madrid","Other Income","33.40","505.81","6.60"
"ATM","Atletico Madrid","Player Sales & Transfer Profits","56.13","505.81","11.10"
"ATM","Atletico Madrid","Financial Income","2.32","505.81","0.46"
"ATM","Atletico Madrid","Matchday & Memberships","191.28","505.81","37.82"
