"club_id","club_name","revenue_type","amount_euros_millions","rnk_club_revenue_type"
"BAR","Barcelona","Sponsorships & Marketing","556.84","1"
"RMA","Real Madrid","Sponsorships & Marketing","481.20","1"
"BAY","Bayern Munich","Sponsorships & Marketing","390.90","1"
"PSG","Paris Saint-Germain","Sponsorships & Marketing","386.60","1"
"LIV","Liverpool","Sponsorships & Marketing","385.00","1"
"ARS","Arsenal","Broadcast & Reward Prices","324.60","1"
"AVL","Aston Villa","Broadcast & Reward Prices","286.70","1"
"INT","Inter Milan","Broadcast & Reward Prices","264.40","1"
"BVB","Borussia Dortmund","Broadcast & Reward Prices","227.20","1"
"ATM","Atletico Madrid","Matchday & Memberships","191.28","1"
