"club_id","club_name","total_revenue","total_expenditure","operating_position","balance_status"
"RMA","Real Madrid","1224.68","1200.39","24.29","Surplus"
"BAR","Barcelona","1003.95","1015.69","-11.74","Deficit"
"BAY","Bayern Munich","926.50","915.74","10.76","Surplus"
"ARS","Arsenal","918.96","921.62","-2.66","Deficit"
"LIV","Liverpool","915.23","905.11","10.12","Surplus"
"PSG","Paris Saint-Germain","911.00","951.20","-40.20","Deficit"
"AVL","Aston Villa","647.08","626.62","20.46","Surplus"
"BVB","Borussia Dortmund","619.60","612.89","6.71","Surplus"
"INT","Inter Milan","564.90","529.60","35.30","Surplus"
"ATM","Atletico Madrid","505.81","545.41","-39.60","Deficit"
