"club_id","club_name","expenditure_type","amount_euros_millions","total_expense_club_millions","category_percentage_to_total_club_expenditure"
"RMA","Real Madrid","Wages & Salaries","505.74","1200.39","42.13"
"RMA","Real Madrid","Other Operating Expenses","383.24","1200.39","31.93"
"RMA","Real Madrid","Amortisation & Depreciation","167.70","1200.39","13.97"
"RMA","Real Madrid","Cost Of Sales","87.70","1200.39","7.31"
"RMA","Real Madrid","Net Interest & Debt Servicing","48.97","1200.39","4.08"
"RMA","Real Madrid","Corporate Tax","7.04","1200.39","0.59"
"BAR","Barcelona","Wages & Salaries","509.95","1015.69","50.21"
"BAR","Barcelona","Other Operating Expenses","230.13","1015.69","22.66"
"BAR","Barcelona","Amortisation & Depreciation","106.31","1015.69","10.47"
"BAR","Barcelona","Supplies","79.70","1015.69","7.85"
"BAR","Barcelona","Impairment of Financial Investments","52.57","1015.69","5.18"
"BAR","Barcelona","Net Interest & Debt Servicing","27.34","1015.69","2.69"
"BAR","Barcelona","Corporate Tax","8.57","1015.69","0.84"
"BAR","Barcelona","Exchange Differences","1.12","1015.69","0.11"
"PSG","Paris Saint-Germain","Wages & Salaries","535.00","951.20","56.24"
"PSG","Paris Saint-Germain","Other Operating Expenses","229.20","951.20","24.10"
"PSG","Paris Saint-Germain","Amortisation & Depreciation","159.90","951.20","16.81"
"PSG","Paris Saint-Germain","Agent Fees","24.10","951.20","2.53"
"PSG","Paris Saint-Germain","Net Interest & Debt Servicing","3.00","951.20","0.32"
"ARS","Arsenal","Wages & Salaries","412.70","921.62","44.78"
"ARS","Arsenal","Amortisation & Depreciation","245.85","921.62","26.68"
"ARS","Arsenal","Other Operating Expenses","239.95","921.62","26.04"
"ARS","Arsenal","Net Interest & Debt Servicing","21.10","921.62","2.29"
"ARS","Arsenal","Share of JV","2.02","921.62","0.22"
"BAY","Bayern Munich","Wages & Salaries","408.30","915.74","44.59"
"BAY","Bayern Munich","Other Operating Expenses","310.00","915.74","33.85"
"BAY","Bayern Munich","Amortisation & Depreciation","132.30","915.74","14.45"
"BAY","Bayern Munich","Cost of Materials & Services","59.90","915.74","6.54"
"BAY","Bayern Munich","Corporate Tax","3.34","915.74","0.36"
"BAY","Bayern Munich","Net Interest & Debt Servicing","1.90","915.74","0.21"
"LIV","Liverpool","Wages & Salaries","508.90","905.11","56.23"
"LIV","Liverpool","Other Operating Expenses","220.90","905.11","24.41"
"LIV","Liverpool","Amortisation & Depreciation","157.00","905.11","17.35"
"LIV","Liverpool","Net Interest & Debt Servicing","10.10","905.11","1.12"
"LIV","Liverpool","Corporate Tax","8.21","905.11","0.91"
"AVL","Aston Villa","Wages & Salaries","325.30","626.62","51.91"
"AVL","Aston Villa","Other Operating Expenses","152.44","626.62","24.33"
"AVL","Aston Villa","Amortisation & Depreciation","138.28","626.62","22.07"
"AVL","Aston Villa","Net Interest & Debt Servicing","10.60","626.62","1.69"
"BVB","Borussia Dortmund","Wages & Salaries","258.57","612.89","42.19"
"BVB","Borussia Dortmund","Other Operating Expenses","221.09","612.89","36.07"
"BVB","Borussia Dortmund","Amortisation & Depreciation","101.92","612.89","16.63"
"BVB","Borussia Dortmund","Cost of Materials & Services","27.36","612.89","4.46"
"BVB","Borussia Dortmund","Net Interest & Debt Servicing","3.95","612.89","0.64"
"ATM","Atletico Madrid","Wages & Salaries","279.93","545.41","51.32"
"ATM","Atletico Madrid","Other Operating Expenses","113.60","545.41","20.83"
"ATM","Atletico Madrid","Amortisation & Depreciation","92.44","545.41","16.95"
"ATM","Atletico Madrid","Supplies","34.80","545.41","6.38"
"ATM","Atletico Madrid","Net Interest & Debt Servicing","23.79","545.41","4.36"
"ATM","Atletico Madrid","Exchange Differences","0.78","545.41","0.14"
"ATM","Atletico Madrid","Corporate Tax","0.07","545.41","0.01"
"INT","Inter Milan","Wages & Salaries","253.20","529.60","47.81"
"INT","Inter Milan","Other Operating Expenses","135.80","529.60","25.64"
"INT","Inter Milan","Amortisation & Depreciation","91.00","529.60","17.18"
"INT","Inter Milan","Net Interest & Debt Servicing","35.10","529.60","6.63"
"INT","Inter Milan","Corporate Tax","14.50","529.60","2.74"
