"club_id","club_name","total_revenue_millions","total_expenditure_millions","balance_millions","rnk_clubs_unstability"
"PSG","Paris Saint-Germain","911.00","951.20","-40.20","1"
"ATM","Atletico Madrid","505.81","545.41","-39.60","2"
"BAR","Barcelona","1003.95","1015.69","-11.74","3"
"ARS","Arsenal","918.96","921.62","-2.66","4"
"BVB","Borussia Dortmund","619.60","612.89","6.71","5"
"LIV","Liverpool","915.23","905.11","10.12","6"
"BAY","Bayern Munich","926.50","915.74","10.76","7"
"AVL","Aston Villa","647.08","626.62","20.46","8"
"RMA","Real Madrid","1224.68","1200.39","24.29","9"
"INT","Inter Milan","564.90","529.60","35.30","10"
