"club_id","club_name","expenditure_type","amount_euros_millions","total_revenue_millions","wage_ratio_percentage","wage_treshhold_compliancy_status"
"RMA","Real Madrid","Wages & Salaries","505.74","1224.68","41.30","Compliant"
"BAR","Barcelona","Wages & Salaries","509.95","1003.95","50.79","Compliant"
"BAY","Bayern Munich","Wages & Salaries","408.30","926.50","44.07","Compliant"
"ARS","Arsenal","Wages & Salaries","412.70","918.96","44.91","Compliant"
"LIV","Liverpool","Wages & Salaries","508.90","915.23","55.60","Compliant"
"PSG","Paris Saint-Germain","Wages & Salaries","535.00","911.00","58.73","Compliant"
"AVL","Aston Villa","Wages & Salaries","325.30","647.08","50.27","Compliant"
"BVB","Borussia Dortmund","Wages & Salaries","258.57","619.60","41.73","Compliant"
"INT","Inter Milan","Wages & Salaries","253.20","564.90","44.82","Compliant"
"ATM","Atletico Madrid","Wages & Salaries","279.93","505.81","55.34","Compliant"
