"club_id","club_name","expenditure_type","expenditure_amount","total_revenue","amortization_depriciation_percentage","resource_efficiency_status"
"ARS","Arsenal","Amortisation & Depreciation","245.85","918.96","26.75","High-Risk Operators"
"AVL","Aston Villa","Amortisation & Depreciation","138.28","647.08","21.37","High-Risk Operators"
"ATM","Atletico Madrid","Amortisation & Depreciation","92.44","505.81","18.28","Balanced Competitors"
"PSG","Paris Saint-Germain","Amortisation & Depreciation","159.90","911.00","17.55","Balanced Competitors"
"LIV","Liverpool","Amortisation & Depreciation","157.00","915.23","17.15","Balanced Competitors"
"BVB","Borussia Dortmund","Amortisation & Depreciation","101.92","619.60","16.45","Balanced Competitors"
"INT","Inter Milan","Amortisation & Depreciation","91.00","564.90","16.11","Balanced Competitors"
"BAY","Bayern Munich","Amortisation & Depreciation","132.30","926.50","14.28","Efficient Operators"
"RMA","Real Madrid","Amortisation & Depreciation","167.70","1224.68","13.69","Efficient Operators"
"BAR","Barcelona","Amortisation & Depreciation","106.31","1003.95","10.59","Efficient Operators"
