"club_id","club_name","expenditure_type","expenditure_amount","total_revenue","finance_cost_percentage","financial_costs_ratio_status"
"INT","Inter Milan","Net Interest & Debt Servicing","35.10","564.90","6.21","High-Risk Spending"
"ATM","Atletico Madrid","Net Interest & Debt Servicing","23.79","505.81","4.70","High-Risk Spending"
"RMA","Real Madrid","Net Interest & Debt Servicing","48.97","1224.68","4.00","Balanced Spending"
"BAR","Barcelona","Net Interest & Debt Servicing","27.34","1003.95","2.72","Balanced Spending"
"ARS","Arsenal","Net Interest & Debt Servicing","21.10","918.96","2.30","Balanced Spending"
"AVL","Aston Villa","Net Interest & Debt Servicing","10.60","647.08","1.64","Balanced Spending"
"LIV","Liverpool","Net Interest & Debt Servicing","10.10","915.23","1.10","Balanced Spending"
"BVB","Borussia Dortmund","Net Interest & Debt Servicing","3.95","619.60","0.64","Efficient Spending"
"PSG","Paris Saint-Germain","Net Interest & Debt Servicing","3.00","911.00","0.33","Efficient Spending"
"BAY","Bayern Munich","Net Interest & Debt Servicing","1.90","926.50","0.21","Efficient Spending"
