"club_id","club_name","broadcast_revenue","total_revenue_club","broadcasting_dependency_percentage","broadcasting_revenue_dependency_ratio_status"
"INT","Inter Milan","264.40","564.90","46.80","High Dependecy"
"AVL","Aston Villa","286.70","647.08","44.31","High Dependecy"
"BVB","Borussia Dortmund","227.20","619.60","36.67","Moderate Dependency"
"ARS","Arsenal","324.60","918.96","35.32","Moderate Dependency"
"LIV","Liverpool","313.80","915.23","34.29","Low Dependency"
"RMA","Real Madrid","351.65","1224.68","28.71","Low Dependency"
"PSG","Paris Saint-Germain","243.20","911.00","26.70","Low Dependency"
"BAR","Barcelona","250.50","1003.95","24.95","Low Dependency"
"ATM","Atletico Madrid","109.22","505.81","21.59","Low Dependency"
"BAY","Bayern Munich","105.30","926.50","11.37","Low Dependency"
