"club_id","club_name","net_operating_position","wage_ratio","amortization_depriciation_ratio","interest_cost_ratio","broadcasting_revenue_ratio","overall_health"
"INT","Inter Milan","35.30","44.82","16.11","6.21","46.80","Healthy"
"RMA","Real Madrid","24.29","41.30","13.69","4.00","28.71","Healthy"
"AVL","Aston Villa","20.46","50.27","21.37","1.64","44.31","Healthy"
"BAY","Bayern Munich","10.76","44.07","14.28","0.21","11.37","Healthy"
"LIV","Liverpool","10.12","55.60","17.15","1.10","34.29","Healthy"
"BVB","Borussia Dortmund","6.71","41.73","16.45","0.64","36.67","Healthy"
"ARS","Arsenal","-2.66","44.91","26.75","2.30","35.32","Distressed"
"BAR","Barcelona","-11.74","50.79","10.59","2.72","24.95","Watch-List"
"ATM","Atletico Madrid","-39.60","55.34","18.28","4.70","21.59","Distressed"
"PSG","Paris Saint-Germain","-40.20","58.73","17.55","0.33","26.70","Watch-List"
